DATE,SP500
07/30/09,986.75
07/31/09,987.48
08/03/09,1002.63
08/04/09,1005.65
08/05/09,1002.72
08/06/09,997.08
08/07/09,1010.48
08/10/09,1007.1
08/11/09,994.35
08/12/09,1005.81
08/13/09,1012.73
08/14/09,1004.09
08/17/09,979.73
08/18/09,989.67
08/19/09,996.46
08/20/09,1007.37
08/21/09,1026.13
08/24/09,1025.57
08/25/09,1028
08/26/09,1028.12
08/27/09,1030.98
08/28/09,1028.93
08/31/09,1020.62
09/01/09,998.04
09/02/09,994.75
09/03/09,1003.24
09/04/09,1016.4
09/07/09,0
09/08/09,1025.39
09/09/09,1033.37
09/10/09,1044.14
09/11/09,1042.73
09/14/09,1049.34
09/15/09,1052.63
09/16/09,1068.76
09/17/09,1065.49
09/18/09,1068.3
09/21/09,1064.66
09/22/09,1071.66
09/23/09,1060.87
09/24/09,1050.78
09/25/09,1044.38
09/28/09,1062.98
09/29/09,1060.61
09/30/09,1057.08
10/01/09,1029.85
10/02/09,1025.21
10/05/09,1040.46
10/06/09,1054.72
10/07/09,1057.58
10/08/09,1065.48
10/09/09,1071.49
10/12/09,1076.19
10/13/09,1073.19
10/14/09,1092.02
10/15/09,1096.56
10/16/09,1087.68
10/19/09,1097.91
10/20/09,1091.06
10/21/09,1081.4
10/22/09,1092.91
10/23/09,1079.6
10/26/09,1066.95
10/27/09,1063.41
10/28/09,1042.63
10/29/09,1066.11
10/30/09,1036.19
11/02/09,1042.88
11/03/09,1045.41
11/04/09,1046.5
11/05/09,1066.63
11/06/09,1069.3
11/09/09,1093.08
11/10/09,1093.01
11/11/09,1098.51
11/12/09,1087.24
11/13/09,1093.48
11/16/09,1109.3
11/17/09,1110.32
11/18/09,1109.8
11/19/09,1094.9
11/20/09,1091.38
11/23/09,1106.24
11/24/09,1105.65
11/25/09,1110.63
11/26/09,0
11/27/09,1091.49
11/30/09,1095.63
12/01/09,1108.86
12/02/09,1109.24
12/03/09,1099.92
12/04/09,1105.98
12/07/09,1103.25
12/08/09,1091.94
12/09/09,1095.95
12/10/09,1102.35
12/11/09,1106.41
12/14/09,1114.11
12/15/09,1107.93
12/16/09,1109.18
12/17/09,1096.08
12/18/09,1102.47
12/21/09,1114.05
12/22/09,1118.02
12/23/09,1120.59
12/24/09,1126.48
12/25/09,0
12/28/09,1127.78
12/29/09,1126.2
12/30/09,1126.42
12/31/09,1115.1
01/01/10,0
01/04/10,1132.99
01/05/10,1136.52
01/06/10,1137.14
01/07/10,1141.69
01/08/10,1144.98
01/11/10,1146.98
01/12/10,1136.22
01/13/10,1145.68
01/14/10,1148.46
01/15/10,1136.03
01/18/10,0
01/19/10,1150.23
01/20/10,1138.04
01/21/10,1116.48
01/22/10,1091.76
01/25/10,1096.78
01/26/10,1092.17
01/27/10,1097.5
01/28/10,1084.53
01/29/10,1073.87
02/01/10,1089.19
02/02/10,1103.32
02/03/10,1097.28
02/04/10,1063.11
02/05/10,1066.19
02/08/10,1056.74
02/09/10,1070.52
02/10/10,1068.13
02/11/10,1078.47
02/12/10,1075.51
02/15/10,0
02/16/10,1094.87
02/17/10,1099.51
02/18/10,1106.75
02/19/10,1109.17
02/22/10,1108.01
02/23/10,1094.6
02/24/10,1105.24
02/25/10,1102.94
02/26/10,1104.49
03/01/10,1115.71
03/02/10,1118.31
03/03/10,1118.79
03/04/10,1122.97
03/05/10,1138.7
03/08/10,1138.5
03/09/10,1140.45
03/10/10,1145.61
